ad_campaign_id,category
3075626001,Apps & Games
3075134001,Apps & Games
3075133001,Apps & Games
3074953001,Tools & Home Improvement
3074599001,Movies & TV
3074470001,"Clothing, Shoes & Jewelry"
3074142001,Apps & Games
3074133001,"Clothing, Shoes & Jewelry"
3073895001,Apps & Games
3073227001,"Clothing, Shoes & Jewelry"
3073216001,Home & Kitchen
3073043001,Toys & Games
3072951001,Toys & Games
3072941001,Toys & Games
3070922001,Apps & Games
3070736001,Home & Kitchen
3070673001,Apps & Games
3070182001,"Clothing, Shoes & Jewelry"
3070165001,Grocery & Gourmet Food
3070120001,"Clothing, Shoes & Jewelry"
3070120001,Sports & Outdoors
3070078001,Sports & Outdoors
3070078001,"Clothing, Shoes & Jewelry"
3070036001,"Clothing, Shoes & Jewelry"
3069985001,"Clothing, Shoes & Jewelry"
3069813001,Toys & Games
3069813001,Kindle Store
3069742001,"Clothing, Shoes & Jewelry"
3069650001,Home & Kitchen
3069615001,"Clothing, Shoes & Jewelry"
3069580001,"Clothing, Shoes & Jewelry"
3069359001,Home & Kitchen
3069359001,Appliances
3069095001,Health & Household
3069032001,"Clothing, Shoes & Jewelry"
3069005001,Toys & Games
3068940001,"Clothing, Shoes & Jewelry"
3068913001,Health & Household
3068868001,Health & Household
3068864001,Health & Household
3068515001,Electronics
3068491001,Health & Household
3066550001,Apps & Games
3066546001,Apps & Games
3066354001,"Clothing, Shoes & Jewelry"
3066035001,Apps & Games
3066020001,Apps & Games
3065945001,Electronics
3065945001,Tools & Home Improvement
3065087001,Sports & Outdoors
3065085001,Toys & Games
3064505001,Toys & Games
3064481001,Toys & Games
3064414001,"Clothing, Shoes & Jewelry"
3064414001,Electronics
3063575001,"Clothing, Shoes & Jewelry"
3063421001,Apps & Games
3063191001,Pet Supplies
3062432001,Apps & Games
3060213001,Beauty & Personal Care
3060067001,CDs & Vinyl
3060067001,Sports & Outdoors
3059772001,Video Games
3059363001,Beauty & Personal Care
3058162001,Toys & Games
3058055001,Grocery & Gourmet Food
3057484001,Apps & Games
3056364001,Apps & Games
3056362001,Apps & Games
3056359001,Apps & Games
3056355001,Apps & Games
3056329001,Apps & Games
3056328001,Apps & Games
3055572001,Apps & Games
3055222001,"Clothing, Shoes & Jewelry"
3055171001,Toys & Games
3055068001,Grocery & Gourmet Food
3054971001,Grocery & Gourmet Food
3054829001,Industrial & Scientific
3054760001,Toys & Games
3054704001,Toys & Games
3054659001,Grocery & Gourmet Food
3054659001,Health & Household
3054642001,Sports & Outdoors
3054642001,Health & Household
3054322001,Movies & TV
3052636001,Apps & Games
3052630001,Apps & Games
3052623001,Apps & Games
3052329001,Apps & Games
3052257001,Apps & Games
3051815001,Apps & Games
3050459001,Apps & Games
3050386001,Apps & Games
3050375001,Apps & Games
3050372001,Apps & Games
3050365001,Apps & Games
3048153001,Apps & Games
3048151001,Apps & Games
3048150001,Apps & Games
3048004001,Electronics
3047428001,Electronics
3047214001,Electronics
3046911001,Toys & Games
3046907001,Toys & Games
3046459001,Toys & Games
3046267001,Grocery & Gourmet Food
3046118001,Apps & Games
3044948001,Apps & Games
3044549001,Apps & Games
3044548001,Apps & Games
3044480001,Movies & TV
3044293001,Video Games
3043878001,Industrial & Scientific
3043009001,"Clothing, Shoes & Jewelry"
3042592001,Video Games
3042406001,Toys & Games
3041031001,Apps & Games
3039925001,Apps & Games
3038606001,"Clothing, Shoes & Jewelry"
3038413001,Grocery & Gourmet Food
3038382001,Electronics
3038305001,Electronics
3037661001,Apps & Games
3037432001,Sports & Outdoors
3037344001,Home & Kitchen
3037059001,Health & Household
3037058001,Health & Household
3037025001,Health & Household
3037019001,Health & Household
3037009001,Health & Household
3036936001,Health & Household
3036925001,Grocery & Gourmet Food
3036925001,Health & Household
3035547001,Apps & Games
3035379001,Electronics
3035378001,Electronics
3034707001,Apps & Games
3034299001,Beauty & Personal Care
3034189001,Tools & Home Improvement
3034073001,Cell Phones & Accessories
3033949001,Grocery & Gourmet Food
3033949001,Beverages
3033153001,Office Products
3033153001,Health & Household
3033137001,Office Products
3033137001,Health & Household
3032835001,Electronics
3032627001,Software
3032481001,Sports & Outdoors
3031819001,Apps & Games
3031818001,Apps & Games
3031335001,Electronics
3029856001,Apps & Games
3029527001,Apps & Games
3029526001,Apps & Games
3029525001,Apps & Games
3028848001,Electronics
3028840001,Beauty & Personal Care
3028840001,Baby Products
3028625001,Health & Household
3028622001,Movies & TV
3028410001,Health & Household
3028397001,Health & Household
3028303001,Grocery & Gourmet Food
3028252001,"Clothing, Shoes & Jewelry"
3028248001,Toys & Games
3028062001,Toys & Games
3028039001,Grocery & Gourmet Food
3027527001,Home & Kitchen
3026730001,Apps & Games
3025917001,Apps & Games
3023116001,Apps & Games
3023113001,Apps & Games
3023112001,Apps & Games
3022279001,Apps & Games
3022252001,Apps & Games
3021177001,Apps & Games
3021173001,Apps & Games
3020717001,Apps & Games
3020716001,Apps & Games
3020349001,"Clothing, Shoes & Jewelry"
3020309001,Health & Household
3020221001,Sports & Outdoors
3020070001,Health & Household
3020011001,Health & Household
3019934001,Health & Household
3019934001,Grocery & Gourmet Food
3019793001,Health & Household
3019382001,Toys & Games
3019382001,Tools & Home Improvement
3019284001,"Clothing, Shoes & Jewelry"
3019268001,Movies & TV
3019025001,Electronics
3018732001,Apps & Games
3018108001,Apps & Games
3018102001,Apps & Games
3018100001,Apps & Games
3018078001,Apps & Games
3018065001,Apps & Games
3017494001,Apps & Games
3017489001,Apps & Games
3017481001,Apps & Games
3016609001,Apps & Games
3016596001,Books
3015929001,Electronics
3015921001,Electronics
3015546001,Grocery & Gourmet Food
3015448001,Electronics
3015276001,Movies & TV
3015266001,Movies & TV
3015250001,Movies & TV
3015236001,Movies & TV
3014999001,Books
3014999001,Kindle Store
3014717001,Sports & Outdoors
3014662001,Electronics
3014609001,Electronics
3012917001,Apps & Games
3012908001,Apps & Games
3011054001,"Clothing, Shoes & Jewelry"
3010731001,Automotive
3010347001,Electronics
3010347001,Sports & Outdoors
3010231001,Grocery & Gourmet Food
3010204001,Beauty & Personal Care
3009674001,Health & Household
3009674001,Grocery & Gourmet Food
3009622001,Apps & Games
3009429001,Apps & Games
3009371001,Apps & Games
3008820001,Industrial & Scientific
3008093001,Apps & Games
3007007001,Apps & Games
3006568001,Beauty & Personal Care
3006482001,Electronics
3006106001,Electronics
3006074001,Electronics
3006012001,Electronics
3005911001,"Clothing, Shoes & Jewelry"
3005911001,Electronics
3005707001,Pet Supplies
3005700001,Pet Supplies
3005669001,Electronics
3005572001,Cell Phones & Accessories
3005546001,Cell Phones & Accessories
3004587001,Apps & Games
3004578001,Apps & Games
3004577001,Apps & Games
3004569001,Apps & Games
3004568001,Apps & Games
3002685001,Apps & Games
3002684001,Apps & Games
3002683001,Apps & Games
3002674001,Apps & Games
3002318001,Movies & TV
3001432001,Toys & Games
3001364001,Industrial & Scientific
3001295001,Sports & Outdoors
3001292001,Apps & Games
3001122001,Toys & Games
3000949001,Home & Kitchen
3000678001,Cell Phones & Accessories
3000628001,Video Games
3000550001,Home & Kitchen
3000550001,Sports & Outdoors
3000494001,Pet Supplies
2999973001,Baby Products
2999376001,Apps & Games
2999245001,Apps & Games
2999240001,Apps & Games
2998871001,Apps & Games
2997758001,Apps & Games
2995744001,Apps & Games
2995479001,Apps & Games
2995453001,Apps & Games
2994062001,Apps & Games
2994057001,Apps & Games
2992964001,Video Games
2992953001,Apps & Games
2992951001,Apps & Games
2992950001,Apps & Games
2992601001,Grocery & Gourmet Food
2992600001,Grocery & Gourmet Food
2992598001,Grocery & Gourmet Food
2992597001,Grocery & Gourmet Food
2992071001,Health & Household
2992070001,Grocery & Gourmet Food
2992065001,Health & Household
2992064001,Health & Household
2991877001,Toys & Games
2991629001,Health & Household
2991620001,Health & Household
2991359001,Grocery & Gourmet Food
2991194001,Toys & Games
2991194001,Industrial & Scientific
2991053001,"Clothing, Shoes & Jewelry"
2990458001,Apps & Games
2990450001,Apps & Games
2990446001,Apps & Games
2990250001,Apps & Games
2988178001,Apps & Games
2988131001,Apps & Games
2988127001,Apps & Games
2988126001,Toys & Games
2988120001,Apps & Games
2988118001,Apps & Games
2987999001,Apps & Games
2987833001,Grocery & Gourmet Food
2987719001,Grocery & Gourmet Food
2987287001,Health & Household
2987287001,Sports & Outdoors
2986959001,Grocery & Gourmet Food
2986942001,Health & Household
2986942001,Office Products
2986875001,"Clothing, Shoes & Jewelry"
2986875001,Sports & Outdoors
2986626001,Electronics
2986571001,Electronics
2986568001,Electronics
2986564001,Electronics
2986562001,Electronics
2986524001,Industrial & Scientific
2986524001,Home & Kitchen
2986426001,Health & Household
2985013001,"Clothing, Shoes & Jewelry"
2984435001,Apps & Games
